App,Category,Rating,Reviews,Installs,Type,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Reviews_numeric,Reviews_isnull,Price Numerical,Positive Ratio
Coloring book moana,ART_AND_DESIGN,3.9,967.0,"500,000+",Free,Everyone,Art & Design;Pretend Play,2018-01-15,2.0.0,4.0.3 and up,967.0,False,0.0,0.5909090909090909
Garden Coloring Book,ART_AND_DESIGN,4.4,13791.0,"1,000,000+",Free,Everyone,Art & Design,2017-09-20,2.9.2,3.0 and up,13791.0,False,0.0,0.7111111111111111
FlipaClip - Cartoon animation,ART_AND_DESIGN,4.3,194216.0,"5,000,000+",Free,Everyone,Art & Design,2018-08-03,2.2.5,4.0.3 and up,194216.0,False,0.0,1.0
Boys Photo Editor - Six Pack & Men's Suit,ART_AND_DESIGN,4.1,654.0,"100,000+",Free,Everyone,Art & Design,2018-03-20,1.1,4.0.3 and up,654.0,False,0.0,0.6052631578947368
Colorfit - Drawing & Coloring,ART_AND_DESIGN,4.7,20260.0,"500,000+",Free,Everyone,Art & Design;Creativity,2017-10-11,1.0.8,4.0.3 and up,20260.0,False,0.0,0.7631578947368421
Animated Photo Editor,ART_AND_DESIGN,4.1,203.0,"100,000+",Free,Everyone,Art & Design,2018-03-21,1.03,4.0.3 and up,203.0,False,0.0,0.6
Anime Manga Coloring Book,ART_AND_DESIGN,4.5,5035.0,"100,000+",Free,Everyone,Art & Design,2018-07-19,2.20,4.0 and up,5035.0,False,0.0,0.7916666666666666
Easy Origami Ideas,ART_AND_DESIGN,4.2,1015.0,"100,000+",Free,Everyone,Art & Design,2018-01-06,1.1.0,4.1 and up,1015.0,False,0.0,0.5
Floor Plan Creator,ART_AND_DESIGN,4.1,36639.0,"5,000,000+",Free,Everyone,Art & Design,2018-07-14,Varies with device,2.3.3 and up,36639.0,False,0.0,0.7027027027027027
"Canva: Poster, banner, card maker & graphic design",ART_AND_DESIGN,4.7,174531.0,"10,000,000+",Free,Everyone,Art & Design,2018-07-31,1.6.1,4.1 and up,174531.0,False,0.0,0.7894736842105263
CDL Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,7774.0,"100,000+",Free,Everyone,Auto & Vehicles,2018-07-03,1.7,4.2 and up,7774.0,False,0.0,0.875
